Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
11594,5/3/2021 1:25:31 PM,37.23000,17.25000,0.32000,33.00000,30.00000,34.00000,43.00000,74.00000,42.00000,2.58000,1.72000,3.01000,2.43667,41.03213,65.14001,18.26667,32.33333,53.00000
11595,5/3/2021 1:25:31 PM,38.20000,20.18000,-0.01000,44.00000,39.00000,41.00000,72.00000,87.00000,61.00000,7.31000,5.59000,6.02000,6.30667,43.20269,62.15375,19.45667,41.33333,73.33333
11596,5/3/2021 1:25:31 PM,39.21000,19.31000,0.35000,46.00000,42.00000,45.00000,77.00000,86.00000,58.00000,8.17000,6.88000,7.74000,7.59667,43.70698,63.78084,19.62333,44.33333,73.66667
11597,5/3/2021 1:25:31 PM,40.25000,19.45000,0.19000,44.00000,40.00000,42.00000,70.00000,89.00000,73.00000,7.31000,6.02000,6.45000,6.59333,44.70308,64.20878,19.96333,42.00000,77.33333
11598,5/3/2021 1:25:31 PM,36.24000,15.64000,1.12000,30.00000,29.00000,30.00000,47.00000,77.00000,20.00000,1.29000,1.29000,1.29000,1.29000,39.47084,66.65655,17.66667,29.66667,48.00000
11599,5/3/2021 1:25:31 PM,38.73000,18.87000,0.21000,44.00000,45.00000,45.00000,65.00000,89.00000,73.00000,7.31000,8.17000,7.74000,7.74000,43.08236,64.02377,19.27000,44.66667,75.66667
11600,5/3/2021 1:25:31 PM,38.86000,19.88000,-0.07000,47.00000,46.00000,47.00000,72.00000,93.00000,70.00000,8.60000,8.60000,8.60000,8.60000,43.64990,62.90662,19.55667,46.66667,78.33333
11601,5/3/2021 1:25:31 PM,39.14000,20.40000,-0.08000,41.00000,40.00000,44.00000,72.00000,89.00000,70.00000,6.02000,6.02000,7.31000,6.45000,44.13728,62.47121,19.82000,41.66667,77.00000
11602,5/3/2021 1:25:31 PM,38.52000,20.48000,-0.02000,48.00000,45.00000,45.00000,84.00000,92.00000,85.00000,9.03000,8.17000,7.74000,8.31333,43.62592,62.00168,19.66000,46.00000,87.00000
11603,5/3/2021 1:25:31 PM,33.46000,19.28000,-0.60000,34.00000,30.00000,34.00000,29.00000,77.00000,49.00000,3.01000,1.72000,3.01000,2.58000,38.61722,60.04901,17.38000,32.66667,51.66667
11604,5/3/2021 1:25:31 PM,37.79000,20.47000,-0.22000,53.00000,45.00000,51.00000,79.00000,88.00000,73.00000,11.18000,8.17000,10.32000,9.89000,42.97796,61.55658,19.34667,49.66667,80.00000
11605,5/3/2021 1:25:31 PM,38.60000,19.85000,-0.58000,37.00000,36.00000,33.00000,69.00000,87.00000,56.00000,4.30000,4.30000,2.58000,3.72667,43.40487,62.78557,19.29000,35.33333,70.66667
11606,5/3/2021 1:25:31 PM,34.35000,15.71000,-0.10000,31.00000,29.00000,30.00000,41.00000,76.00000,26.00000,1.72000,1.29000,1.29000,1.43333,37.77203,65.42297,16.65333,30.00000,47.66667
11607,5/3/2021 1:25:31 PM,36.71000,18.61000,-0.44000,34.00000,32.00000,33.00000,47.00000,86.00000,58.00000,3.01000,2.58000,2.58000,2.72333,41.15770,63.11744,18.29333,33.00000,63.66667
11608,5/3/2021 1:25:31 PM,25.26000,4.18000,2.02000,30.00000,28.00000,29.00000,50.00000,66.00000,20.00000,1.29000,0.86000,0.86000,1.00333,25.60352,80.60390,10.48667,29.00000,45.33333
11609,5/3/2021 1:25:31 PM,40.34000,20.28000,0.02000,43.00000,41.00000,42.00000,76.00000,87.00000,71.00000,6.88000,6.45000,6.45000,6.59333,45.15079,63.31010,20.21333,42.00000,78.00000
11610,5/3/2021 1:25:31 PM,38.89000,18.27000,0.36000,36.00000,36.00000,39.00000,48.00000,84.00000,58.00000,3.87000,4.30000,5.16000,4.44333,42.96772,64.83649,19.17333,37.00000,63.33333
11611,5/3/2021 1:25:31 PM,38.78000,20.14000,-0.01000,42.00000,38.00000,39.00000,72.00000,86.00000,73.00000,6.45000,5.16000,5.16000,5.59000,43.69792,62.55535,19.63667,39.66667,77.00000
11612,5/3/2021 1:25:31 PM,38.01000,19.23000,-0.11000,32.00000,30.00000,31.00000,52.00000,78.00000,47.00000,2.15000,1.72000,1.72000,1.86333,42.59757,63.16426,19.04333,31.00000,59.00000
11613,5/3/2021 1:25:32 PM,37.81000,20.19000,0.03000,41.00000,41.00000,44.00000,57.00000,87.00000,63.00000,6.02000,6.45000,7.31000,6.59333,42.86295,61.89842,19.34333,42.00000,69.00000
11614,5/3/2021 1:25:32 PM,40.12000,19.05000,0.27000,38.00000,35.00000,40.00000,63.00000,77.00000,66.00000,4.73000,3.87000,5.59000,4.73000,44.41303,64.60044,19.81333,37.66667,68.66667
11615,5/3/2021 1:25:32 PM,37.68000,18.37000,0.03000,45.00000,39.00000,45.00000,61.00000,84.00000,71.00000,7.74000,5.59000,7.74000,7.02333,41.91944,64.00954,18.69333,43.00000,72.00000
11616,5/3/2021 1:25:32 PM,38.98000,19.67000,-0.09000,53.00000,48.00000,51.00000,82.00000,92.00000,72.00000,11.18000,9.46000,10.32000,10.32000,43.66176,63.22368,19.52000,50.66667,82.00000
11617,5/3/2021 1:25:32 PM,37.71000,18.54000,0.12000,35.00000,37.00000,38.00000,46.00000,86.00000,68.00000,3.44000,4.73000,4.73000,4.30000,42.02113,63.81911,18.79000,36.66667,66.66667
11618,5/3/2021 1:25:32 PM,38.07000,21.41000,-0.11000,36.00000,34.00000,35.00000,63.00000,78.00000,50.00000,3.87000,3.44000,3.44000,3.58333,43.67737,60.64725,19.79000,35.00000,63.66667
11619,5/3/2021 1:25:32 PM,37.57000,20.15000,0.07000,44.00000,45.00000,50.00000,77.00000,88.00000,80.00000,7.31000,8.17000,9.89000,8.45667,42.63247,61.79391,19.26333,46.33333,81.66667
11620,5/3/2021 1:25:32 PM,38.92000,19.45000,0.14000,44.00000,36.00000,37.00000,65.00000,81.00000,45.00000,7.31000,4.30000,4.30000,5.30333,43.50941,63.44673,19.50333,39.00000,63.66667
11621,5/3/2021 1:25:32 PM,37.59000,17.64000,0.69000,34.00000,30.00000,34.00000,70.00000,72.00000,45.00000,3.01000,1.72000,3.01000,2.58000,41.52322,64.86057,18.64000,32.66667,62.33333
11622,5/3/2021 1:25:32 PM,38.15000,20.47000,0.04000,41.00000,38.00000,37.00000,68.00000,85.00000,64.00000,6.02000,5.16000,4.30000,5.16000,43.29484,61.78350,19.55333,38.66667,72.33333
11623,5/3/2021 1:25:32 PM,37.69000,16.24000,0.47000,39.00000,35.00000,35.00000,57.00000,82.00000,52.00000,5.16000,3.87000,3.44000,4.15667,41.03990,66.68958,18.13333,36.33333,63.66667
11624,5/3/2021 1:25:32 PM,35.23000,16.39000,0.83000,30.00000,31.00000,30.00000,44.00000,77.00000,36.00000,1.29000,2.15000,1.29000,1.57667,38.85595,65.05081,17.48333,30.33333,52.33333
11625,5/3/2021 1:25:32 PM,20.15000,15.61000,-1.05000,29.00000,29.00000,32.00000,9.00000,51.00000,16.00000,0.86000,1.29000,2.15000,1.43333,25.48911,52.23542,11.57000,30.00000,25.33333
11626,5/3/2021 1:25:32 PM,32.02000,16.71000,-0.27000,29.00000,30.00000,30.00000,36.00000,80.00000,38.00000,0.86000,1.72000,1.29000,1.29000,36.11792,62.44169,16.15333,29.66667,51.33333
11627,5/3/2021 1:25:32 PM,31.81000,23.57000,-0.72000,32.00000,31.00000,34.00000,10.00000,60.00000,31.00000,2.15000,2.15000,3.01000,2.43667,39.59067,53.46296,18.22000,32.33333,33.66667
11628,5/3/2021 1:25:32 PM,39.34000,16.12000,1.05000,37.00000,34.00000,36.00000,31.00000,73.00000,24.00000,4.30000,3.44000,3.87000,3.87000,42.51459,67.71809,18.83667,35.66667,42.66667
11629,5/3/2021 1:25:32 PM,38.92000,20.66000,0.14000,37.00000,33.00000,39.00000,56.00000,76.00000,62.00000,4.30000,3.01000,5.16000,4.15667,44.06361,62.03919,19.90667,36.33333,64.66667
11630,5/3/2021 1:25:32 PM,37.49000,18.36000,0.12000,38.00000,32.00000,34.00000,69.00000,70.00000,34.00000,4.73000,2.58000,3.01000,3.44000,41.74434,63.90760,18.65667,34.66667,57.66667
11631,5/3/2021 1:25:32 PM,37.90000,20.40000,-0.02000,32.00000,35.00000,33.00000,45.00000,81.00000,46.00000,2.15000,3.87000,2.58000,2.86667,43.04149,61.70826,19.42667,33.33333,57.33333
11632,5/3/2021 1:25:32 PM,38.72000,18.48000,-0.31000,34.00000,33.00000,36.00000,63.00000,79.00000,65.00000,3.01000,3.01000,3.87000,3.29667,42.90395,64.48613,18.96333,34.33333,69.00000
11633,5/3/2021 1:25:32 PM,37.38000,19.01000,0.40000,33.00000,32.00000,33.00000,53.00000,79.00000,54.00000,2.58000,2.58000,2.58000,2.58000,41.93620,63.04390,18.93000,32.66667,62.00000
11634,5/3/2021 1:25:32 PM,41.40000,22.05000,-0.02000,33.00000,28.00000,30.00000,34.00000,65.00000,29.00000,2.58000,0.86000,1.29000,1.57667,46.90589,61.95985,21.14333,30.33333,42.66667
11635,5/3/2021 1:25:32 PM,39.75000,19.59000,0.32000,34.00000,34.00000,36.00000,52.00000,80.00000,54.00000,3.01000,3.44000,3.87000,3.44000,44.31513,63.76453,19.88667,34.66667,62.00000
11636,5/3/2021 1:25:32 PM,38.64000,18.94000,0.00000,46.00000,44.00000,48.00000,72.00000,90.00000,74.00000,8.17000,7.74000,9.03000,8.31333,43.03224,63.88749,19.19333,46.00000,78.66667
11637,5/3/2021 1:25:32 PM,38.38000,19.93000,0.57000,41.00000,38.00000,38.00000,75.00000,87.00000,64.00000,6.02000,5.16000,4.73000,5.30333,43.24615,62.55801,19.62667,39.00000,75.33333
11638,5/3/2021 1:25:33 PM,38.86000,17.13000,0.24000,33.00000,31.00000,33.00000,45.00000,81.00000,45.00000,2.58000,2.15000,2.58000,2.43667,42.46806,66.21148,18.74333,32.33333,57.00000
11639,5/3/2021 1:25:33 PM,22.26000,20.19000,-1.98000,31.00000,33.00000,35.00000,17.00000,80.00000,46.00000,1.72000,3.01000,3.44000,2.72333,30.05235,47.79172,13.49000,33.00000,47.66667
11640,5/3/2021 1:25:33 PM,39.39000,20.79000,-0.05000,41.00000,41.00000,41.00000,68.00000,83.00000,72.00000,6.02000,6.45000,6.02000,6.16333,44.53983,62.17496,20.04333,41.00000,74.33333
11641,5/3/2021 1:25:33 PM,37.47000,19.67000,0.10000,41.00000,42.00000,43.00000,62.00000,87.00000,73.00000,6.02000,6.88000,6.88000,6.59333,42.31914,62.30262,19.08000,42.00000,74.00000
11642,5/3/2021 1:25:33 PM,37.31000,21.04000,-0.89000,37.00000,38.00000,36.00000,59.00000,90.00000,58.00000,4.30000,5.16000,3.87000,4.44333,42.83361,60.58031,19.15333,37.00000,69.00000
11643,5/3/2021 1:25:33 PM,38.63000,20.63000,-0.04000,40.00000,38.00000,39.00000,70.00000,86.00000,58.00000,5.59000,5.16000,5.16000,5.30333,43.79354,61.89596,19.74000,39.00000,71.33333
11644,5/3/2021 1:25:33 PM,38.08000,19.21000,0.00000,32.00000,31.00000,32.00000,47.00000,71.00000,51.00000,2.15000,2.15000,2.15000,2.15000,42.65103,63.23069,19.09667,31.66667,56.33333
11645,5/3/2021 1:25:33 PM,38.35000,20.20000,-0.16000,43.00000,40.00000,38.00000,81.00000,85.00000,69.00000,6.88000,6.02000,4.73000,5.87667,43.34470,62.22299,19.46333,40.33333,78.33333
11646,5/3/2021 1:25:33 PM,38.69000,19.56000,-0.15000,51.00000,46.00000,52.00000,83.00000,92.00000,85.00000,10.32000,8.60000,10.75000,9.89000,43.35331,63.18080,19.36667,49.66667,86.66667
11647,5/3/2021 1:25:33 PM,39.85000,19.22000,-0.17000,39.00000,36.00000,41.00000,64.00000,87.00000,76.00000,5.16000,4.30000,6.02000,5.16000,44.24286,64.25158,19.63333,38.66667,75.66667
11648,5/3/2021 1:25:33 PM,38.47000,19.50000,-0.20000,41.00000,39.00000,40.00000,68.00000,85.00000,70.00000,6.02000,5.59000,5.59000,5.73333,43.12993,63.12008,19.25667,40.00000,74.33333
11649,5/3/2021 1:25:33 PM,32.88000,8.60000,2.25000,29.00000,30.00000,30.00000,17.00000,72.00000,45.00000,0.86000,1.72000,1.29000,1.29000,33.98609,75.34224,14.57667,29.66667,44.66667
11650,5/3/2021 1:25:33 PM,38.72000,18.74000,0.01000,43.00000,44.00000,42.00000,74.00000,90.00000,73.00000,6.88000,7.74000,6.45000,7.02333,43.01658,64.17359,19.15667,43.00000,79.00000
11651,5/3/2021 1:25:33 PM,38.07000,19.00000,0.10000,37.00000,34.00000,38.00000,51.00000,89.00000,66.00000,4.30000,3.44000,4.73000,4.15667,42.54791,63.47710,19.05667,36.33333,68.66667
11652,5/3/2021 1:25:33 PM,36.88000,18.80000,-0.08000,31.00000,28.00000,31.00000,28.00000,59.00000,37.00000,1.72000,0.86000,1.72000,1.43333,41.39534,62.98927,18.53333,30.00000,41.33333
11653,5/3/2021 1:25:33 PM,37.60000,20.55000,0.15000,37.00000,35.00000,37.00000,58.00000,87.00000,71.00000,4.30000,3.87000,4.30000,4.15667,42.84930,61.34152,19.43333,36.33333,72.00000
11654,5/3/2021 1:25:33 PM,39.54000,18.57000,0.46000,33.00000,31.00000,33.00000,56.00000,78.00000,66.00000,2.58000,2.15000,2.58000,2.43667,43.68359,64.84286,19.52333,32.33333,66.66667
11655,5/3/2021 1:25:33 PM,38.72000,16.37000,0.62000,33.00000,34.00000,34.00000,40.00000,75.00000,47.00000,2.58000,3.44000,3.01000,3.01000,42.03826,67.08238,18.57000,33.66667,54.00000
11656,5/3/2021 1:25:33 PM,37.25000,18.88000,0.33000,39.00000,39.00000,37.00000,59.00000,86.00000,47.00000,5.16000,5.59000,4.30000,5.01667,41.76143,63.12203,18.82000,38.33333,64.00000
11657,5/3/2021 1:25:33 PM,40.97000,20.27000,0.28000,40.00000,37.00000,39.00000,69.00000,85.00000,49.00000,5.59000,4.73000,5.16000,5.16000,45.71011,63.67599,20.50667,38.66667,67.66667
11658,5/3/2021 1:25:33 PM,38.01000,19.57000,0.25000,39.00000,38.00000,39.00000,52.00000,89.00000,57.00000,5.16000,5.16000,5.16000,5.16000,42.75214,62.75767,19.27667,38.66667,66.00000
11659,5/3/2021 1:25:33 PM,35.88000,18.01000,-0.28000,35.00000,38.00000,37.00000,55.00000,78.00000,55.00000,3.44000,5.16000,4.30000,4.30000,40.14641,63.34559,17.87000,36.66667,62.66667
11660,5/3/2021 1:25:33 PM,39.49000,19.95000,-0.43000,48.00000,45.00000,49.00000,75.00000,92.00000,78.00000,9.03000,8.17000,9.46000,8.88667,44.24322,63.19750,19.67000,47.33333,81.66667
11661,5/3/2021 1:25:33 PM,38.13000,19.69000,-0.34000,53.00000,48.00000,56.00000,73.00000,88.00000,74.00000,11.18000,9.46000,12.47000,11.03667,42.91379,62.68856,19.16000,52.33333,78.33333
11662,5/3/2021 1:25:33 PM,38.77000,19.73000,-0.33000,45.00000,39.00000,39.00000,72.00000,90.00000,66.00000,7.74000,5.59000,5.16000,6.16333,43.50156,63.02852,19.39000,41.00000,76.00000
11663,5/3/2021 1:25:34 PM,39.13000,19.92000,-0.24000,37.00000,37.00000,40.00000,71.00000,86.00000,75.00000,4.30000,4.73000,5.59000,4.87333,43.90858,63.02061,19.60333,38.00000,77.33333
11664,5/3/2021 1:25:34 PM,38.13000,19.04000,-0.30000,50.00000,46.00000,45.00000,86.00000,92.00000,73.00000,9.89000,8.60000,7.74000,8.74333,42.61946,63.46501,18.95667,47.00000,83.66667
11665,5/3/2021 1:25:34 PM,35.55000,17.00000,-0.09000,38.00000,35.00000,38.00000,58.00000,84.00000,47.00000,4.73000,3.87000,4.73000,4.44333,39.40562,64.44289,17.48667,37.00000,63.00000
11666,5/3/2021 1:25:34 PM,38.40000,19.87000,0.01000,39.00000,43.00000,41.00000,70.00000,88.00000,68.00000,5.16000,7.31000,6.02000,6.16333,43.23629,62.64079,19.42667,41.00000,75.33333
11667,5/3/2021 1:25:34 PM,36.48000,19.79000,-0.26000,38.00000,35.00000,38.00000,51.00000,84.00000,60.00000,4.73000,3.87000,4.73000,4.44333,41.50222,61.52065,18.67000,37.00000,65.00000
11668,5/3/2021 1:25:34 PM,38.74000,19.64000,-0.07000,44.00000,38.00000,44.00000,73.00000,85.00000,69.00000,7.31000,5.16000,7.31000,6.59333,43.43406,63.11638,19.43667,42.00000,75.66667
11669,5/3/2021 1:25:34 PM,37.47000,20.21000,-0.56000,35.00000,35.00000,36.00000,59.00000,85.00000,53.00000,3.44000,3.87000,3.87000,3.72667,42.57282,61.65914,19.04000,35.33333,65.66667
11670,5/3/2021 1:25:34 PM,38.98000,20.03000,-0.13000,43.00000,40.00000,44.00000,78.00000,87.00000,80.00000,6.88000,6.02000,7.31000,6.73667,43.82512,62.80349,19.62667,42.33333,81.66667
11671,5/3/2021 1:25:34 PM,39.32000,19.05000,-0.03000,53.00000,52.00000,51.00000,82.00000,94.00000,76.00000,11.18000,11.18000,10.32000,10.89333,43.69170,64.15045,19.44667,52.00000,84.00000
11672,5/3/2021 1:25:34 PM,39.77000,19.50000,-0.06000,45.00000,42.00000,45.00000,64.00000,82.00000,61.00000,7.74000,6.88000,7.74000,7.45333,44.29337,63.88040,19.73667,44.00000,69.00000
11673,5/3/2021 1:25:34 PM,38.08000,20.18000,-0.21000,43.00000,41.00000,45.00000,71.00000,87.00000,81.00000,6.88000,6.45000,7.74000,7.02333,43.09662,62.07923,19.35000,43.00000,79.66667
11674,5/3/2021 1:25:34 PM,38.49000,19.57000,0.12000,43.00000,41.00000,44.00000,66.00000,85.00000,69.00000,6.88000,6.45000,7.31000,6.88000,43.17945,63.04922,19.39333,42.66667,73.33333
11675,5/3/2021 1:25:34 PM,38.91000,18.81000,0.02000,39.00000,35.00000,40.00000,76.00000,84.00000,76.00000,5.16000,3.87000,5.59000,4.87333,43.21810,64.19980,19.24667,38.00000,78.66667
11676,5/3/2021 1:25:34 PM,40.27000,20.46000,0.31000,52.00000,48.00000,53.00000,74.00000,90.00000,73.00000,10.75000,9.46000,11.18000,10.46333,45.16951,63.06622,20.34667,51.00000,79.00000
11677,5/3/2021 1:25:34 PM,39.59000,19.62000,0.25000,51.00000,50.00000,51.00000,79.00000,91.00000,69.00000,10.32000,10.32000,10.32000,10.32000,44.18498,63.63792,19.82000,50.66667,79.66667
11678,5/3/2021 1:25:34 PM,39.67000,21.23000,-0.10000,35.00000,34.00000,35.00000,59.00000,79.00000,66.00000,3.44000,3.44000,3.44000,3.44000,44.99357,61.84586,20.26667,34.66667,68.00000
11679,5/3/2021 1:25:34 PM,38.68000,19.71000,0.14000,41.00000,40.00000,41.00000,72.00000,88.00000,77.00000,6.02000,6.02000,6.02000,6.02000,43.41228,62.99817,19.51000,40.66667,79.00000
11680,5/3/2021 1:25:34 PM,40.50000,19.02000,0.28000,38.00000,35.00000,39.00000,71.00000,85.00000,66.00000,4.73000,3.87000,5.16000,4.58667,44.74383,64.84386,19.93333,37.33333,74.00000
11681,5/3/2021 1:25:34 PM,38.84000,19.32000,0.09000,43.00000,38.00000,43.00000,80.00000,86.00000,66.00000,6.88000,5.16000,6.88000,6.30667,43.37981,63.55308,19.41667,41.33333,77.33333
11682,5/3/2021 1:25:34 PM,38.34000,20.20000,0.06000,44.00000,37.00000,44.00000,70.00000,83.00000,66.00000,7.31000,4.73000,7.31000,6.45000,43.33585,62.21683,19.53333,41.66667,73.00000
11683,5/3/2021 1:25:34 PM,37.53000,18.59000,-0.14000,37.00000,33.00000,35.00000,49.00000,76.00000,69.00000,4.30000,3.01000,3.44000,3.58333,41.88184,63.64908,18.66000,35.00000,64.66667
11684,5/3/2021 1:25:34 PM,8.71000,3.21000,1.05000,28.00000,27.00000,28.00000,24.00000,46.00000,26.00000,0.43000,0.43000,0.43000,0.43000,9.28268,69.76904,4.32333,27.66667,32.00000
11685,5/3/2021 1:25:34 PM,38.69000,19.64000,-0.08000,40.00000,37.00000,41.00000,64.00000,81.00000,81.00000,5.59000,4.73000,6.02000,5.44667,43.38947,63.08653,19.41667,39.33333,75.33333
11686,5/3/2021 1:25:34 PM,38.19000,19.09000,0.00000,46.00000,41.00000,45.00000,66.00000,88.00000,63.00000,8.17000,6.45000,7.74000,7.45333,42.69548,63.44095,19.09333,44.00000,72.33333
11687,5/3/2021 1:25:34 PM,38.66000,19.84000,-0.29000,45.00000,48.00000,47.00000,55.00000,87.00000,71.00000,7.74000,9.46000,8.60000,8.60000,43.45367,62.83347,19.40333,46.66667,71.00000
11688,5/3/2021 1:25:35 PM,37.88000,20.18000,0.08000,47.00000,43.00000,47.00000,70.00000,93.00000,79.00000,8.60000,7.31000,8.60000,8.17000,42.92001,61.95421,19.38000,45.66667,80.66667
11689,5/3/2021 1:25:35 PM,30.54000,15.21000,-0.37000,34.00000,32.00000,33.00000,35.00000,76.00000,46.00000,3.01000,2.58000,2.58000,2.72333,34.11797,63.52507,15.12667,33.00000,52.33333
11690,5/3/2021 1:25:35 PM,37.99000,17.86000,0.32000,37.00000,37.00000,37.00000,60.00000,84.00000,54.00000,4.30000,4.73000,4.30000,4.44333,41.97880,64.82067,18.72333,37.00000,66.00000
11691,5/3/2021 1:25:35 PM,30.51000,17.68000,-0.44000,34.00000,31.00000,35.00000,45.00000,80.00000,55.00000,3.01000,2.15000,3.44000,2.86667,35.26248,59.90847,15.91667,33.33333,60.00000
11692,5/3/2021 1:25:35 PM,38.95000,19.09000,0.13000,46.00000,41.00000,45.00000,67.00000,88.00000,84.00000,8.17000,6.45000,7.74000,7.45333,43.37661,63.88981,19.39000,44.00000,79.66667
11693,5/3/2021 1:25:35 PM,40.72000,18.02000,0.01000,43.00000,40.00000,39.00000,75.00000,83.00000,59.00000,6.88000,6.02000,5.16000,6.02000,44.52908,66.12896,19.58333,40.66667,72.33333
11694,5/3/2021 1:25:35 PM,37.23000,17.33000,0.47000,33.00000,35.00000,35.00000,43.00000,78.00000,48.00000,2.58000,3.87000,3.44000,3.29667,41.06582,65.03874,18.34333,34.33333,56.33333
11695,5/3/2021 1:25:35 PM,38.64000,19.50000,0.09000,53.00000,54.00000,49.00000,82.00000,91.00000,71.00000,11.18000,12.04000,9.46000,10.89333,43.28163,63.22182,19.41000,52.00000,81.33333
11696,5/3/2021 1:25:35 PM,38.73000,17.60000,0.35000,45.00000,39.00000,41.00000,66.00000,86.00000,68.00000,7.74000,5.59000,6.02000,6.45000,42.54143,65.56162,18.89333,41.66667,73.33333
11697,5/3/2021 1:25:35 PM,37.76000,19.02000,0.32000,41.00000,40.00000,42.00000,65.00000,89.00000,71.00000,6.02000,6.02000,6.45000,6.16333,42.27976,63.26526,19.03333,41.00000,75.00000
11698,5/3/2021 1:25:35 PM,38.64000,19.29000,0.14000,41.00000,40.00000,47.00000,80.00000,88.00000,81.00000,6.02000,6.02000,8.60000,6.88000,43.18743,63.47055,19.35667,42.66667,83.00000
11699,5/3/2021 1:25:35 PM,37.31000,19.69000,0.34000,47.00000,42.00000,47.00000,68.00000,89.00000,66.00000,8.60000,6.88000,8.60000,8.02667,42.18687,62.17757,19.11333,45.33333,74.33333
11700,5/3/2021 1:25:35 PM,38.95000,19.78000,0.11000,39.00000,37.00000,38.00000,57.00000,90.00000,62.00000,5.16000,4.73000,4.73000,4.87333,43.68467,63.07715,19.61333,38.00000,69.66667
11701,5/3/2021 1:25:35 PM,37.55000,18.63000,0.50000,33.00000,34.00000,33.00000,49.00000,83.00000,64.00000,2.58000,3.44000,2.58000,2.86667,41.91753,63.61222,18.89333,33.33333,65.33333
11702,5/3/2021 1:25:35 PM,39.56000,19.41000,-0.04000,50.00000,42.00000,50.00000,80.00000,88.00000,86.00000,9.89000,6.88000,9.89000,8.88667,44.06520,63.86525,19.64333,47.33333,84.66667
11703,5/3/2021 1:25:35 PM,35.51000,13.82000,0.67000,34.00000,30.00000,33.00000,34.00000,80.00000,45.00000,3.01000,1.72000,2.58000,2.43667,38.10450,68.73470,16.66667,32.33333,53.00000
11704,5/3/2021 1:25:35 PM,21.87000,-1.19000,2.86000,29.00000,28.00000,28.00000,36.00000,70.00000,45.00000,0.86000,0.86000,0.43000,0.71667,21.90235,93.11453,7.84667,28.33333,50.33333
11705,5/3/2021 1:25:35 PM,35.50000,20.33000,-0.69000,32.00000,33.00000,36.00000,55.00000,83.00000,41.00000,2.15000,3.01000,3.87000,3.01000,40.90915,60.20127,18.38000,33.66667,59.66667
11706,5/3/2021 1:25:35 PM,37.22000,18.91000,0.21000,32.00000,30.00000,33.00000,45.00000,77.00000,46.00000,2.15000,1.72000,2.58000,2.15000,41.74825,63.06669,18.78000,31.66667,56.00000
11707,5/3/2021 1:25:35 PM,38.69000,20.17000,0.11000,40.00000,38.00000,40.00000,63.00000,84.00000,67.00000,5.59000,5.16000,5.59000,5.44667,43.63193,62.46592,19.65667,39.33333,71.33333
